Index,Layer Name,Layer Type,Output Shape,Param #,Trainable
0,conv2d,Conv2D,"(None, 128, 128, 32)",896,True
1,conv2d_1,Conv2D,"(None, 126, 126, 32)",9248,True
2,max_pooling2d,MaxPooling2D,"(None, 63, 63, 32)",0,True
3,conv2d_2,Conv2D,"(None, 63, 63, 64)",18496,True
4,conv2d_3,Conv2D,"(None, 61, 61, 64)",36928,True
5,max_pooling2d_1,MaxPooling2D,"(None, 30, 30, 64)",0,True
6,conv2d_4,Conv2D,"(None, 30, 30, 128)",73856,True
7,conv2d_5,Conv2D,"(None, 28, 28, 128)",147584,True
8,max_pooling2d_2,MaxPooling2D,"(None, 14, 14, 128)",0,True
9,conv2d_6,Conv2D,"(None, 14, 14, 256)",295168,True
10,conv2d_7,Conv2D,"(None, 12, 12, 256)",590080,True
11,max_pooling2d_3,MaxPooling2D,"(None, 6, 6, 256)",0,True
12,conv2d_8,Conv2D,"(None, 6, 6, 512)",1180160,True
13,conv2d_9,Conv2D,"(None, 4, 4, 512)",2359808,True
14,max_pooling2d_4,MaxPooling2D,"(None, 2, 2, 512)",0,True
15,dropout,Dropout,"(None, 2, 2, 512)",0,True
16,flatten,Flatten,"(None, 2048)",0,True
17,dense,Dense,"(None, 1500)",3073500,True
18,dense_1,Dense,"(None, 1500)",2251500,True
19,dropout_1,Dropout,"(None, 1500)",0,True
20,dense_2,Dense,"(None, 38)",57038,True
