Plant,Disease,Image_Count
Apple,Apple_scab,2016
Apple,Black_rot,1987
Apple,Cedar_apple_rust,1760
Apple,healthy,2008
Blueberry,healthy,1816
Cherry_(including_sour),healthy,1826
Cherry_(including_sour),Powdery_mildew,1683
Corn_(maize),Cercospora_leaf_spot Gray_leaf_spot,1642
Corn_(maize),Common_rust_,1907
Corn_(maize),healthy,1859
Corn_(maize),Northern_Leaf_Blight,1908
Grape,Black_rot,1888
Grape,Esca_(Black_Measles),1920
Grape,healthy,1692
Grape,Leaf_blight_(Isariopsis_Leaf_Spot),1722
Orange,Haunglongbing_(Citrus_greening),2010
Peach,Bacterial_spot,1838
Peach,healthy,1728
"Pepper,_bell",Bacterial_spot,1913
"Pepper,_bell",healthy,1988
Potato,Early_blight,1939
Potato,healthy,1824
Potato,Late_blight,1939
Raspberry,healthy,1781
Soybean,healthy,2022
Squash,Powdery_mildew,1736
Strawberry,healthy,1824
Strawberry,Leaf_scorch,1774
Tomato,Bacterial_spot,1702
Tomato,Early_blight,1920
Tomato,healthy,1926
Tomato,Late_blight,1851
Tomato,Leaf_Mold,1882
Tomato,Septoria_leaf_spot,1745
Tomato,Spider_mites Two-spotted_spider_mite,1741
Tomato,Target_Spot,1827
Tomato,Tomato_mosaic_virus,1790
Tomato,Tomato_Yellow_Leaf_Curl_Virus,1961
